AddLimit,253100,0,0
AddLimit,60500,0,0
AddLimit,29000,0,1
AddLimit,8455300,0,0
AddLimit,444500,0,0
AddLimit,524300,0,0
AddLimit,523700,0,0
AddLimit,319300,0,0
AddLimit,655800,0,0
AddLimit,563500,0,0
AddLimit,385100,0,0
AddLimit,403300,0,0
AddLimit,441000,0,1
AddLimit,482200,0,0
AddLimit,368800,0,0
AddLimit,351300,0,1
AddLimit,305300,0,0
AddLimit,359500,0,0
AddLimit,364700,0,1
AddLimit,442700,0,0
AddLimit,637500,0,0
AddLimit,582000,0,1
AddLimit,578000,0,0
AddLimit,357000,0,1
AddLimit,423100,0,1
AddLimit,477200,0,1
AddLimit,507800,0,1
AddLimit,768600,0,0
AddLimit,426100,0,1
AddLimit,408500,0,1
AddLimit,479200,0,0
AddLimit,399400,0,1
AddLimit,387500,0,0
AddLimit,564200,0,0
AddLimit,432000,0,1
AddLimit,443600,0,0
AddLimit,421900,0,1
AddLimit,267900,0,1
AddLimit,428100,0,1
AddLimit,882600,0,0
AddLimit,414000,0,1
AddLimit,333900,0,0
AddLimit,310200,0,0
AddLimit,366000,0,1
AddLimit,396900,0,0
AddLimit,344100,0,0
AddLimit,308900,0,0
AddLimit,355700,0,1
AddLimit,297500,0,0
AddLimit,283900,0,1
AddLimit,298400,0,0
AddLimit,310600,0,0
AddLimit,265000,0,0
AddLimit,340300,0,0
AddLimit,762500,0,1
AddLimit,365200,0,0
AddLimit,288200,0,0
AddLimit,809400,0,0
AddLimit,337900,0,0
AddLimit,387700,0,0
AddLimit,393100,0,0
AddLimit,243200,0,1
AddLimit,273500,0,0
AddLimit,321900,0,0
AddLimit,406600,0,0
AddLimit,475100,0,0
AddLimit,455000,0,0
AddLimit,316400,0,0
AddLimit,385000,0,0
AddLimit,366400,0,0
AddLimit,384600,0,1
AddLimit,483200,0,0
AddLimit,281900,0,0
AddLimit,508400,0,0
AddLimit,374400,0,0
AddLimit,694200,0,1
AddLimit,384500,0,0
AddLimit,352100,0,0
AddLimit,279700,0,0
AddLimit,521800,0,1
AddLimit,267600,0,1
AddLimit,227000,0,1
AddLimit,330900,0,0
AddLimit,460800,0,1
AddLimit,389300,0,0
AddLimit,378100,0,0
AddLimit,317200,0,1
AddLimit,391400,0,1
AddLimit,340500,0,1
AddLimit,297200,0,0
AddLimit,475600,0,0
AddLimit,290800,0,0
AddLimit,358500,0,0
AddLimit,381500,0,0
AddLimit,342100,0,0
AddLimit,357500,0,0
AddLimit,334200,0,0
AddLimit,323100,0,0
AddLimit,278200,0,0
AddLimit,291100,0,0
AddLimit,281100,0,0
AddLimit,402100,0,0
AddLimit,336800,0,1
AddLimit,319700,0,0
AddLimit,334500,0,0
AddLimit,396200,0,0
AddLimit,298600,0,0
AddLimit,253500,0,1
AddLimit,278500,0,0
AddLimit,278800,0,0
AddLimit,274200,0,0
AddLimit,306800,0,0
AddLimit,334500,0,0
AddLimit,288200,0,0
AddLimit,303600,0,0
AddLimit,290800,0,1
AddLimit,396200,0,0
AddLimit,306600,0,0
AddLimit,283900,0,0
AddLimit,316700,0,0
